MIDI Note,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,3023
35,456
36,1268
37,11985
38,13820
39,7018
40,111296
41,30480
42,50633
43,68748
44,38446
45,177727
46,67221
47,166752
48,121387
49,75882
50,235828
51,52119
52,296462
53,89302
54,125836
55,249428
56,100261
57,251057
58,83196
59,280526
60,159580
61,107579
62,196060
63,57860
64,303281
65,74253
66,117628
67,108252
68,70438
69,73078
70,26373
71,51837
72,12874
73,4627
74,9244
75,6525
76,6127
77,1453
78,5550
79,7091
80,154
81,4802
82,899
83,345
84,1157
85,15
86,325
87,2
88,115
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,126986
