MIDI Note,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,2
35,7273
36,30306
37,68557
38,398211
39,272647
40,3793952
41,1474752
42,1350817
43,3457654
44,933298
45,6451935
46,1376200
47,6211967
48,4381487
49,2208599
50,8751557
51,1681151
52,10323911
53,3450197
54,3795709
55,9759291
56,3652927
57,11263908
58,2936909
59,10224286
60,7275744
61,5079528
62,9289248
63,2640533
64,11592148
65,3767286
66,4792619
67,5308169
68,1703487
69,3251340
70,744417
71,1687230
72,938203
73,411716
74,588419
75,161755
76,451930
77,87989
78,98442
79,110636
80,23558
81,83899
82,6663
83,24776
84,14066
85,3478
86,5287
87,2617
88,1774
89,5
90,7
91,4
92,0
93,4
94,4
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,7600780
