MIDI Note,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,42
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,16320
36,15223
37,104573
38,242092
39,419979
40,4256509
41,1573413
42,1294100
43,4046346
44,1233574
45,6559039
46,1276595
47,6990182
48,5025504
49,1920838
50,8976115
51,2019278
52,10672626
53,3177960
54,3808499
55,11326145
56,3488429
57,11564815
58,2493007
59,9727986
60,8815381
61,4527555
62,9389622
63,2574441
64,11449674
65,3420487
66,4765723
67,5019217
68,1198332
69,1888030
70,392611
71,1008392
72,336482
73,219433
74,313878
75,54820
76,192428
77,44992
78,25283
79,34904
80,18391
81,22244
82,1903
83,6789
84,1285
85,50
86,1768
87,501
88,5241
89,164
90,0
91,130
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,7556213
